
Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 118 IR: 853.00 PING: 53.33 cm
Angle: 120 IR: 854.33 PING: 121.00 cm
Angle: 122 IR: 1414.67 PING: 38.33 cm
Angle: 124 IR: 1958.33 PING: 35.00 cm
Angle: 126 IR: 1981.00 PING: 63.00 cm
Angle: 128 IR: 1825.67 PING: 69.33 cm
Angle: 130 IR: 1719.00 PING: 74.00 cm
Angle: 132 IR: 1524.67 PING: 66.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 851.67 PING: 47.33 cm
Angle: 2 IR: 1032.33 PING: 46.33 cm
Angle: 4 IR: 1069.67 PING: 46.33 cm
Angle: 6 IR: 1265.00 PING: 46.33 cm
Angle: 8 IR: 1469.00 PING: 52.00 cm
Angle: 10 IR: 1502.33 PING: 52.33 cm
Angle: 12 IR: 1455.00 PING: 55.67 cm
Angle: 14 IR: 1413.67 PING: 66.00 cm
Angle: 16 IR: 1402.00 PING: 73.33 cm
Angle: 18 IR: 1372.33 PING: 87.00 cm
Angle: 20 IR: 1343.00 PING: 63.67 cm
Angle: 22 IR: 1287.67 PING: 61.00 cm
Angle: 24 IR: 1253.67 PING: 55.67 cm
Angle: 26 IR: 1208.33 PING: 51.00 cm
Angle: 28 IR: 1161.00 PING: 88.00 cm
Angle: 30 IR: 1125.00 PING: 76.00 cm
Angle: 32 IR: 1052.33 PING: 60.00 cm
Angle: 34 IR: 1050.33 PING: 74.33 cm
Angle: 36 IR: 3510.67 PING: 6.33 cm
Angle: 38 IR: 3018.33 PING: 5.67 cm
Angle: 40 IR: 2849.00 PING: 5.00 cm
Angle: 42 IR: 2746.33 PING: 5.00 cm
Angle: 44 IR: 2641.67 PING: 5.00 cm
Angle: 46 IR: 2645.67 PING: 4.00 cm
Angle: 48 IR: 2521.33 PING: 4.00 cm
Angle: 50 IR: 2713.67 PING: 4.00 cm
Angle: 52 IR: 2659.67 PING: 4.00 cm
Angle: 54 IR: 2720.67 PING: 4.00 cm
Angle: 56 IR: 2012.33 PING: 4.33 cm
Angle: 58 IR: 2304.33 PING: 6.33 cm
Angle: 60 IR: 755.67 PING: 77.67 cm
Angle: 62 IR: 739.67 PING: 100.67 cm
Angle: 64 IR: 731.33 PING: 95.67 cm
Angle: 66 IR: 753.00 PING: 95.67 cm
Angle: 68 IR: 745.67 PING: 81.00 cm
Angle: 70 IR: 749.67 PING: 94.00 cm
Angle: 72 IR: 727.67 PING: 112.33 cm
Angle: 74 IR: 749.67 PING: 100.33 cm
Angle: 76 IR: 731.00 PING: 70.67 cm
Angle: 78 IR: 743.00 PING: 95.67 cm
Angle: 80 IR: 723.00 PING: 68.33 cm
Angle: 82 IR: 735.67 PING: 66.67 cm
Angle: 84 IR: 927.33 PING: 57.67 cm
Angle: 86 IR: 2749.00 PING: 16.00 cm
Angle: 88 IR: 3849.33 PING: 5.00 cm
Angle: 90 IR: 3865.67 PING: 5.00 cm
Angle: 92 IR: 3133.00 PING: 5.00 cm
Angle: 94 IR: 2262.67 PING: 6.67 cm
Angle: 96 IR: 1635.67 PING: 16.67 cm
